,Country,GDP_Capita,Family,Life_Expectancy,Freedom,EducationIndex,Safety_index,Happiness_Score
60,Turkey,0.5991371870040899,0.668876588344575,0.6376056075096129,0.300740599632263,0.6679999999999999,0.451,5.464799974986486
61,Paraguay,0.4662686586380005,0.753642439842225,0.579250693321228,0.473507791757584,0.613,0.436,6.1738136907986245
62,Philippines,0.42884960770607,0.626958787441255,0.468009054660797,0.585214674472809,0.637,0.477,6.032903034687044
63,Serbia,0.534658789634705,0.6290948987007149,0.65078467130661,0.20871552824974104,0.76,0.7609999999999999,5.777505554131102
64,Jordan,0.4955061972141264,0.619544446468355,0.6045900583267211,0.418421149253845,0.701,0.517,5.5086597875186385
65,Hungary,0.6430059671401998,0.671566545963285,0.6877634525299069,0.17586351931095098,0.8340000000000001,0.821,6.904570692777631
66,Jamaica,0.4627896547317505,0.6841090321540849,0.6410223841667181,0.474307239055634,0.6779999999999999,0.547,5.696040443011697
67,Croatia,0.611278116703035,0.483991503715515,0.701288521289825,0.255772292613983,0.7979999999999999,0.8270000000000001,5.967614906174797
68,China,0.54058289527893,0.580418705940245,0.741415500640869,0.472787708044052,0.631,0.6659999999999999,6.6174354427201365
69,Pakistan,0.36344176530837996,0.33634534478187544,0.402047783136368,0.23521526157856,0.55,0.258,4.492928792578833
70,Indonesia,0.497769296169281,0.637222349643705,0.4923457205295561,0.443323463201523,0.622,0.58,6.1038011850629506
71,Venezuela,0.56421560049057,0.71566879749298,0.617144227027893,0.15399712324142498,0.71,0.327,5.482893926075525
72,Montenegro,0.560564517974855,0.619188249111175,0.6674646735191351,0.194989055395126,0.797,0.6759999999999999,5.378866422857557
73,Morocco,0.43905729055404646,0.3874322175979615,0.59771066904068,0.408158332109451,0.503,0.5329999999999999,5.169083584717342
74,Azerbaijan,0.5768008828163149,0.576200127601625,0.5407757759094239,0.3981558382511141,0.723,0.5,6.16418946368354
75,Dominican Republic,0.539686918258665,0.7012083530426048,0.574873745441437,0.55258983373642,0.622,0.542,6.474798357827324
76,Greece,0.644743740558625,0.61970728635788,0.8101989030838009,0.0957312509417534,0.83,0.73,5.686258829917228
77,Lebanon,0.537493765354155,0.56481212377548,0.7350810766220089,0.28851598501205394,0.6559999999999999,0.345,5.538432786805282
78,Portugal,0.6575876474380501,0.68352150917053,0.795843541622162,0.498465299606323,0.7559999999999999,0.5670000000000001,6.726311425481522
79,Honduras,0.365286558866501,0.571972489356995,0.582569479942322,0.348079860210419,0.518,0.4970000000000001,5.547011983394624
80,Nigeria,0.391878128051758,0.607885241508485,0.0569157302379608,0.394952565431595,0.47700000000000004,0.319,4.2823309503282845
81,Tajikistan,0.2623568177223205,0.635731637477875,0.5292351245880129,0.471566706895828,0.6579999999999999,0.371,4.896986123834338
82,Nepal,0.2399100959300995,0.589641630649565,0.504130780696869,0.4403059482574461,0.475,0.5760000000000001,5.464269222191399
83,Mongolia,0.51361793279648,0.7465056180954,0.557783484458923,0.3941439688205721,0.737,0.731,6.328644291673393
84,South Africa,0.52734935283661,0.69239431619644,0.18708007037639604,0.479246735572815,0.705,0.478,4.384386392831801
85,Tunisia,0.50363290309906,0.4341757297515871,0.613212049007416,0.289680689573288,0.643,0.537,4.672430530616216
86,Egypt,0.494850903749466,0.498735696077347,0.520187258720398,0.28211015462875394,0.601,0.368,4.664120018822807
87,Bulgaria,0.58072954416275,0.717189729213715,0.708217680454254,0.2892317175865169,0.778,0.8,6.604812387738908
88,Sierra Leone,0.18421046435833,0.4920680224895475,0.005564753897488121,0.318697690963745,0.374,0.499,4.105058473870159
89,Cameroon,0.282152682542801,0.4730091094970705,0.132892116904259,0.430388748645782,0.493,0.35100000000000003,4.517775225128446
90,Iran,0.57843655347824,0.35577562451362604,0.639333188533783,0.24932260811328896,0.7040000000000001,0.467,4.991239963769911
91,Albania,0.498096376657486,0.40184262394905107,0.731159746646881,0.381498634815216,0.715,0.745,5.675139117240906
92,Bangladesh,0.293341487646103,0.367565870285034,0.533241033554077,0.478356659412384,0.457,0.49,5.170721501282283
93,Namibia,0.482217162847519,0.54923540353775,0.33861181139946,0.520303547382355,0.546,0.718,4.506239893095834
94,Kenya,0.2802397310733795,0.53397536277771,0.30998834967613204,0.452763766050339,0.518,0.439,4.6913817279679435
95,Mozambique,0.117152824997902,0.4353505074977875,0.106654435396194,0.480791091918945,0.369,0.453,4.231355514015469
96,Senegal,0.2396545112133025,0.589845955371855,0.409362852573395,0.37792226672172496,0.355,0.444,4.522550836971825
97,Zambia,0.31820338964462297,0.50159364938736,0.25783589482307395,0.461603492498398,0.5770000000000001,0.506,4.817480609076363
98,Iraq,0.5513552427291851,0.4893065989017485,0.501180469989777,0.288555532693863,0.5,0.142,4.603425491877963
99,Gabon,0.5991051197052,0.57781010866165,0.35657858848571794,0.31232857704162603,0.618,0.4370000000000001,4.501174848420278
100,Ethiopia,0.169616922736168,0.43233460187912004,0.353409707546234,0.408842742443085,0.318,0.438,4.4574342494351535
101,Sri Lanka,0.504925072193145,0.629988193511965,0.625130832195282,0.561213254928589,0.752,0.5770000000000001,6.643224789755687
102,Armenia,0.4502983689308165,0.50374186038971,0.637524425983429,0.198303267359734,0.73,0.5920000000000001,4.802668460948128
103,India,0.3961106240749361,0.3771862983703615,0.455427616834641,0.469987004995346,0.624,0.464,5.409587920393264
104,Mauritania,0.32422864437103244,0.63601541519165,0.285349279642105,0.0960980430245399,0.377,0.35,3.669559117470467
